术语	词频	归一化权重	累积权重
鸡皮	1	0.0000	0.9390
内溶素	1	0.0000	0.9390
高二氢	1	0.0000	0.9390
芋与同	1	0.0000	0.9391
肌红蛋白	1	0.0000	0.9391
抗丝	1	0.0000	0.9391
规划设计	1	0.0000	0.9391
孢菌橘	1	0.0000	0.9391
红橘	1	0.0000	0.9391
粉花	1	0.0000	0.9391
和酸铝	1	0.0000	0.9391
颞中	1	0.0000	0.9391
麦麸	1	0.0000	0.9391
耳鼻喉科	1	0.0000	0.9391
卡鲁胺	1	0.0000	0.9391
桃金	1	0.0000	0.9391
娘科	1	0.0000	0.9392
光棘球	1	0.0000	0.9392
选划	1	0.0000	0.9392
当量	1	0.0000	0.9392
流动沙丘	1	0.0000	0.9392
脑轴	1	0.0000	0.9392
皮疽	1	0.0000	0.9392
肠绒毛	1	0.0000	0.9392
柯根	1	0.0000	0.9392
穗柯	1	0.0000	0.9392
锡林	1	0.0000	0.9392
角叶	1	0.0000	0.9392
君子兰	1	0.0000	0.9392
时任	1	0.0000	0.9393
环加氧酶	1	0.0000	0.9393
故事	1	0.0000	0.9393
行文	1	0.0000	0.9393
特长	1	0.0000	0.9393
记事	1	0.0000	0.9393
速冻	1	0.0000	0.9393
植硅	1	0.0000	0.9393
体碳	1	0.0000	0.9393
植硅体	1	0.0000	0.9393
恶唑	1	0.0000	0.9393
磺胺	1	0.0000	0.9393
素苷	1	0.0000	0.9393
疫毒	1	0.0000	0.9393
端在胞	1	0.0000	0.9394
棕榈科	1	0.0000	0.9394
码将	1	0.0000	0.9394
上稻	1	0.0000	0.9394
麻籽	1	0.0000	0.9394
原点	1	0.0000	0.9394
咪酯	1	0.0000	0.9394
探地	1	0.0000	0.9394
木花	1	0.0000	0.9394
经济效益	1	0.0000	0.9394
正链	1	0.0000	0.9394
芒柄	1	0.0000	0.9394
强迫症	1	0.0000	0.9394
野蔷薇	1	0.0000	0.9395
眼囊	1	0.0000	0.9395
跳动	1	0.0000	0.9395
抗宫	1	0.0000	0.9395
炎方	1	0.0000	0.9395
宫炎	1	0.0000	0.9395
游猎	1	0.0000	0.9395
真空包装	1	0.0000	0.9395
甲基营养	1	0.0000	0.9395
蜂窝状	1	0.0000	0.9395
脱烷基化	1	0.0000	0.9395
挡板	1	0.0000	0.9395
葡苷	1	0.0000	0.9395
玫瑰花	1	0.0000	0.9395
八月份	1	0.0000	0.9396
科间	1	0.0000	0.9396
供应量	1	0.0000	0.9396
氨酚	1	0.0000	0.9396
风寒	1	0.0000	0.9396
三叉苦	1	0.0000	0.9396
口令	1	0.0000	0.9396
体域	1	0.0000	0.9396
粒形	1	0.0000	0.9396
环氧氯丙烷	1	0.0000	0.9396
测光	1	0.0000	0.9396
葡枝	1	0.0000	0.9396
亲和组	1	0.0000	0.9396
环链	1	0.0000	0.9397
外小体	1	0.0000	0.9397
身源	1	0.0000	0.9397
代乳粉	1	0.0000	0.9397
腺细胞	1	0.0000	0.9397
大陆架	1	0.0000	0.9397
湿性	1	0.0000	0.9397
鸡骨草	1	0.0000	0.9397
炼油	1	0.0000	0.9397
麻类作物	1	0.0000	0.9397
透析液	1	0.0000	0.9397
酒泉	1	0.0000	0.9397
盘腐	1	0.0000	0.9397
磨损率	1	0.0000	0.9398
泌尿道	1	0.0000	0.9398
润滑剂	1	0.0000	0.9398
圣草酚	1	0.0000	0.9398
苦涩味	1	0.0000	0.9398
鉴伪	1	0.0000	0.9398
果汁	1	0.0000	0.9398
橙汁	1	0.0000	0.9398
防腐	1	0.0000	0.9398
食药	1	0.0000	0.9398
教学服务	1	0.0000	0.9398
污染区	1	0.0000	0.9398
巨球	1	0.0000	0.9398
五氟磺草胺	1	0.0000	0.9398
老树	1	0.0000	0.9399
胚囊	1	0.0000	0.9399
需氧非	1	0.0000	0.9399
系统阐述	1	0.0000	0.9399
酮酸	1	0.0000	0.9399
风热伤络	1	0.0000	0.9399
无浆体	1	0.0000	0.9399
球状体	1	0.0000	0.9399
煎丸	1	0.0000	0.9399
肝方	1	0.0000	0.9399
味源	1	0.0000	0.9399
脑血管病	1	0.0000	0.9399
孢漆	1	0.0000	0.9399
装瓶	1	0.0000	0.9400
鼠形	1	0.0000	0.9400
汉坦病毒	1	0.0000	0.9400
油烯	1	0.0000	0.9400
口腔溃疡	1	0.0000	0.9400
胃火	1	0.0000	0.9400
血热	1	0.0000	0.9400
小头虫	1	0.0000	0.9400
指状	1	0.0000	0.9400
码区	1	0.0000	0.9400
和四烯	1	0.0000	0.9400
四烯	1	0.0000	0.9400
牙骨质	1	0.0000	0.9400
份八爪金龙	1	0.0000	0.9401
根段	1	0.0000	0.9401
情节	1	0.0000	0.9401
数学方法	1	0.0000	0.9401
亚磺	1	0.0000	0.9401
数集	1	0.0000	0.9401
蠹和蓝	1	0.0000	0.9401
喹硫平	1	0.0000	0.9401
比较显著	1	0.0000	0.9401
虫口	1	0.0000	0.9401
信息产业	1	0.0000	0.9401
石油化工	1	0.0000	0.9401
果和叶	1	0.0000	0.9401
暴力	1	0.0000	0.9401
合肥	1	0.0000	0.9402
鲨鱼	1	0.0000	0.9402
齿鲨	1	0.0000	0.9402
主导地位	1	0.0000	0.9402
造炭	1	0.0000	0.9402
地正	1	0.0000	0.9402
经验性	1	0.0000	0.9402
市镇	1	0.0000	0.9402
水獭	1	0.0000	0.9402
附石	1	0.0000	0.9402
水电站	1	0.0000	0.9402
白线	1	0.0000	0.9402
宝鸡	1	0.0000	0.9402
腹足动物	1	0.0000	0.9403
功能丰富	1	0.0000	0.9403
耳羊	1	0.0000	0.9403
寡糖基	1	0.0000	0.9403
足弓	1	0.0000	0.9403
趋势性	1	0.0000	0.9403
抗菌剂	1	0.0000	0.9403
韧皮	1	0.0000	0.9403
倒位	1	0.0000	0.9403
测井	1	0.0000	0.9403
湖泊相	1	0.0000	0.9403
套种	1	0.0000	0.9403
畲族	1	0.0000	0.9403
种草	1	0.0000	0.9404
强酸	1	0.0000	0.9404
氨苄	1	0.0000	0.9404
熟肉制品	1	0.0000	0.9404
半导体技术	1	0.0000	0.9404
化工	1	0.0000	0.9404
单组学	1	0.0000	0.9404
眼别	1	0.0000	0.9404
黑鼠	1	0.0000	0.9404
专用肥	1	0.0000	0.9404
板蓝	1	0.0000	0.9404
菜头	1	0.0000	0.9404
分流	1	0.0000	0.9404
双染	1	0.0000	0.9404
中活菌	1	0.0000	0.9405
舌蜂	1	0.0000	0.9405
种榉	1	0.0000	0.9405
果形	1	0.0000	0.9405
丁苯	1	0.0000	0.9405
荣络	1	0.0000	0.9405
斜斑瓜	1	0.0000	0.9405
蛀茎	1	0.0000	0.9405
小瓜	1	0.0000	0.9405
导联间	1	0.0000	0.9405
成瘾性	1	0.0000	0.9405
虱蝇	1	0.0000	0.9405
狂蝇	1	0.0000	0.9405
轴端	1	0.0000	0.9406
腺肌病	1	0.0000	0.9406
鸡公山	1	0.0000	0.9406
消光	1	0.0000	0.9406
暗场	1	0.0000	0.9406
储粮	1	0.0000	0.9406
瘟病	1	0.0000	0.9406
耗材	1	0.0000	0.9406
良机	1	0.0000	0.9406
萘醌	1	0.0000	0.9406
青礞石	1	0.0000	0.9406
婚姻状况	1	0.0000	0.9406
占有率	1	0.0000	0.9406
菜油	1	0.0000	0.9406
量度	1	0.0000	0.9407
天约	1	0.0000	0.9407
晴天	1	0.0000	0.9407
降雨	1	0.0000	0.9407
金课	1	0.0000	0.9407
报酬	1	0.0000	0.9407
干热风	1	0.0000	0.9407
煤污	1	0.0000	0.9407
调质	1	0.0000	0.9407
生假	1	0.0000	0.9407
颞部	1	0.0000	0.9407
藿药	1	0.0000	0.9407
化是	1	0.0000	0.9407
目的地	1	0.0000	0.9408
组织部	1	0.0000	0.9408
收样	1	0.0000	0.9408
海聚	1	0.0000	0.9408
菁英	1	0.0000	0.9408
科坛	1	0.0000	0.9408
旗舰	1	0.0000	0.9408
国宝	1	0.0000	0.9408
骨髓炎	1	0.0000	0.9408
小伴	1	0.0000	0.9408
吐沫	1	0.0000	0.9408
采样器	1	0.0000	0.9408
普遍性	1	0.0000	0.9408
酪氨酰	1	0.0000	0.9409
插入方法	1	0.0000	0.9409
异味	1	0.0000	0.9409
学海	1	0.0000	0.9409
溪流	1	0.0000	0.9409
鞘翅	1	0.0000	0.9409
背板	1	0.0000	0.9409
习惯	1	0.0000	0.9409
含铁	1	0.0000	0.9409
菊粉	1	0.0000	0.9409
鼓膜	1	0.0000	0.9409
摄片	1	0.0000	0.9409
碱草	1	0.0000	0.9409
垂穗	1	0.0000	0.9409
氯氟氢	1	0.0000	0.9410
磷源	1	0.0000	0.9410
亲和柱	1	0.0000	0.9410
辛烷	1	0.0000	0.9410
磺酸盐	1	0.0000	0.9410
肺疾	1	0.0000	0.9410
胆绿素	1	0.0000	0.9410
玉液	1	0.0000	0.9410
竖条	1	0.0000	0.9410
肉样	1	0.0000	0.9410
碎骨	1	0.0000	0.9410
青贮饲料	1	0.0000	0.9410
猴魁	1	0.0000	0.9410
工业用	1	0.0000	0.9411
绝缘子	1	0.0000	0.9411
数极	1	0.0000	0.9411
单磷酸	1	0.0000	0.9411
水液	1	0.0000	0.9411
力敏	1	0.0000	0.9411
声敏	1	0.0000	0.9411
邻苯二	1	0.0000	0.9411
肝脂	1	0.0000	0.9411
转导素	1	0.0000	0.9411
集体照	1	0.0000	0.9411
癌栓	1	0.0000	0.9411
个桑	1	0.0000	0.9411
双库	1	0.0000	0.9412
六妹	1	0.0000	0.9412
中皂苷类	1	0.0000	0.9412
鲳鯵	1	0.0000	0.9412
球组	1	0.0000	0.9412
胞姐	1	0.0000	0.9412
胞兄	1	0.0000	0.9412
氟苯尼考和丁胺	1	0.0000	0.9412
松油烯	1	0.0000	0.9412
皮肤性病	1	0.0000	0.9412
基体效应	1	0.0000	0.9412
沙雷菌	1	0.0000	0.9412
青光	1	0.0000	0.9412
荞根	1	0.0000	0.9412
甲酸钠	1	0.0000	0.9413
草酰	1	0.0000	0.9413
癌巢	1	0.0000	0.9413
抗条锈性	1	0.0000	0.9413
模糊化	1	0.0000	0.9413
秋眠级	1	0.0000	0.9413
陈度	1	0.0000	0.9413
肠菌群	1	0.0000	0.9413
湿热型	1	0.0000	0.9413
新视野	1	0.0000	0.9413
留学生	1	0.0000	0.9413
耳鼻喉	1	0.0000	0.9413
径级	1	0.0000	0.9413
死木	1	0.0000	0.9414
野化	1	0.0000	0.9414
方中	1	0.0000	0.9414
野火	1	0.0000	0.9414
台式	1	0.0000	0.9414
病毒传播	1	0.0000	0.9414
贵金属	1	0.0000	0.9414
塑化剂	1	0.0000	0.9414
脚手架	1	0.0000	0.9414
净流量	1	0.0000	0.9414
麦蚜	1	0.0000	0.9414
铁盐	1	0.0000	0.9414
辣类	1	0.0000	0.9414
山葵	1	0.0000	0.9414
芥末	1	0.0000	0.9415
冗余度	1	0.0000	0.9415
戊二酸铁	1	0.0000	0.9415
因病	1	0.0000	0.9415
先贤	1	0.0000	0.9415
氨甲环酸	1	0.0000	0.9415
肩关节	1	0.0000	0.9415
芳香烃	1	0.0000	0.9415
共抑制	1	0.0000	0.9415
推拿学	1	0.0000	0.9415
精方	1	0.0000	0.9415
奇古菌门	1	0.0000	0.9415
放氧	1	0.0000	0.9415
经方	1	0.0000	0.9416
耳病	1	0.0000	0.9416
清群	1	0.0000	0.9416
双重	1	0.0000	0.9416
牛樟	1	0.0000	0.9416
光解离	1	0.0000	0.9416
诊疗费	1	0.0000	0.9416
化学式	1	0.0000	0.9416
魔鬼	1	0.0000	0.9416
感豆	1	0.0000	0.9416
耐伊马替尼	1	0.0000	0.9416
产胞	1	0.0000	0.9416
茶籽	1	0.0000	0.9416
菊属	1	0.0000	0.9417
五体	1	0.0000	0.9417
筋骨	1	0.0000	0.9417
海兔	1	0.0000	0.9417
扁桃体炎	1	0.0000	0.9417
产油	1	0.0000	0.9417
鳞叶	1	0.0000	0.9417
计算机控制	1	0.0000	0.9417
特殊性	1	0.0000	0.9417
胞机	1	0.0000	0.9417
观花	1	0.0000	0.9417
生型	1	0.0000	0.9417
真皮层	1	0.0000	0.9417
表皮层	1	0.0000	0.9417
冻性	1	0.0000	0.9418
抗风湿	1	0.0000	0.9418
致胎	1	0.0000	0.9418
活络	1	0.0000	0.9418
双通道	1	0.0000	0.9418
存储密度	1	0.0000	0.9418
大孔	1	0.0000	0.9418
介孔	1	0.0000	0.9418
限氧	1	0.0000	0.9418
专利权人	1	0.0000	0.9418
三苯氧胺	1	0.0000	0.9418
福司	1	0.0000	0.9418
胎兔	1	0.0000	0.9418
绿边	1	0.0000	0.9419
斑鳍	1	0.0000	0.9419
中聚	1	0.0000	0.9419
数字信息	1	0.0000	0.9419
伤肾	1	0.0000	0.9419
胎源	1	0.0000	0.9419
叠鞘	1	0.0000	0.9419
科辐粳	1	0.0000	0.9419
三氯甲烷	1	0.0000	0.9419
单位名称	1	0.0000	0.9419
脱饱和	1	0.0000	0.9419
专性胞	1	0.0000	0.9419
雄虫性	1	0.0000	0.9419
海葵	1	0.0000	0.9420
水螅	1	0.0000	0.9420
釉丛	1	0.0000	0.9420
配对法	1	0.0000	0.9420
突菱纹	1	0.0000	0.9420
漫游	1	0.0000	0.9420
骨甲	1	0.0000	0.9420
腹片	1	0.0000	0.9420
盔甲	1	0.0000	0.9420
粉斑	1	0.0000	0.9420
致胎损	1	0.0000	0.9420
麦蛾	1	0.0000	0.9420
菜品	1	0.0000	0.9420
期限	1	0.0000	0.9420
真菌病	1	0.0000	0.9421
子的胞	1	0.0000	0.9421
沙粒	1	0.0000	0.9421
态下	1	0.0000	0.9421
神经核	1	0.0000	0.9421
脑亚区	1	0.0000	0.9421
动眼	1	0.0000	0.9421
网织	1	0.0000	0.9421
眼赛	1	0.0000	0.9421
除根	1	0.0000	0.9421
粘毛	1	0.0000	0.9421
心材	1	0.0000	0.9421
柚木	1	0.0000	0.9421
边材	1	0.0000	0.9422
风疹病毒	1	0.0000	0.9422
寿命长	1	0.0000	0.9422
电致酸法	1	0.0000	0.9422
电致酸	1	0.0000	0.9422
钼喋呤	1	0.0000	0.9422
挑战赛	1	0.0000	0.9422
外观设计	1	0.0000	0.9422
失效率	1	0.0000	0.9422
反射层	1	0.0000	0.9422
食肉	1	0.0000	0.9422
蚊亚属	1	0.0000	0.9422
城市化	1	0.0000	0.9422
碳氧	1	0.0000	0.9423
板井子	1	0.0000	0.9423
调查表	1	0.0000	0.9423
市售鹿	1	0.0000	0.9423
尸性	1	0.0000	0.9423
块体	1	0.0000	0.9423
志留系	1	0.0000	0.9423
矿产	1	0.0000	0.9423
盆系	1	0.0000	0.9423
色盲	1	0.0000	0.9423
知情权	1	0.0000	0.9423
铸造业	1	0.0000	0.9423
冶金工业	1	0.0000	0.9423
豪猪	1	0.0000	0.9423
三唑酮	1	0.0000	0.9424
丹灯通	1	0.0000	0.9424
形团	1	0.0000	0.9424
抗环	1	0.0000	0.9424
证是	1	0.0000	0.9424
硬盘	1	0.0000	0.9424
光盘	1	0.0000	0.9424
辛夷	1	0.0000	0.9424
纽结	1	0.0000	0.9424
标型	1	0.0000	0.9424
周丛	1	0.0000	0.9424
磁带	1	0.0000	0.9424
鲜果	1	0.0000	0.9424
本科课程	1	0.0000	0.9425
羟考酮	1	0.0000	0.9425
攻坚	1	0.0000	0.9425
名词术语	1	0.0000	0.9425
地理位置	1	0.0000	0.9425
条长链	1	0.0000	0.9425
对头	1	0.0000	0.9425
眼点	1	0.0000	0.9425
红藜	1	0.0000	0.9425
桉组	1	0.0000	0.9425
赤桉	1	0.0000	0.9425
营口	1	0.0000	0.9425
热狗	1	0.0000	0.9425
理血	1	0.0000	0.9425
顶壳	1	0.0000	0.9426
圆珠	1	0.0000	0.9426
暴食	1	0.0000	0.9426
边框	1	0.0000	0.9426
锦叶	1	0.0000	0.9426
重复子	1	0.0000	0.9426
可可豆	1	0.0000	0.9426
塔吉克族	1	0.0000	0.9426
蝇蛹	1	0.0000	0.9426
色差	1	0.0000	0.9426
色光	1	0.0000	0.9426
岩群	1	0.0000	0.9426
太古宙	1	0.0000	0.9426
总体设计	1	0.0000	0.9427
耳屏	1	0.0000	0.9427
消脂片	1	0.0000	0.9427
土壤改良剂	1	0.0000	0.9427
熏蒸剂	1	0.0000	0.9427
梧桐	1	0.0000	0.9427
火桐	1	0.0000	0.9427
单尾	1	0.0000	0.9427
钓性	1	0.0000	0.9427
蜡状	1	0.0000	0.9427
腹侧	1	0.0000	0.9427
藻际	1	0.0000	0.9427
单片	1	0.0000	0.9427
含磷	1	0.0000	0.9428
奥司	1	0.0000	0.9428
网捕	1	0.0000	0.9428
耳蝠	1	0.0000	0.9428
面貌	1	0.0000	0.9428
可林	1	0.0000	0.9428
层高	1	0.0000	0.9428
套膜区	1	0.0000	0.9428
颈长	1	0.0000	0.9428
除虫	1	0.0000	0.9428
庚烯	1	0.0000	0.9428
庚酸	1	0.0000	0.9428
词源	1	0.0000	0.9428
遗骸	1	0.0000	0.9428
散发性	1	0.0000	0.9429
梭菌性	1	0.0000	0.9429
根膜	1	0.0000	0.9429
高光	1	0.0000	0.9429
毛茛	1	0.0000	0.9429
经食	1	0.0000	0.9429
贞丰	1	0.0000	0.9429
臀类	1	0.0000	0.9429
珠三角	1	0.0000	0.9429
川芋	1	0.0000	0.9429
锦绣	1	0.0000	0.9429
毒效	1	0.0000	0.9429
纯铵	1	0.0000	0.9429
食体	1	0.0000	0.9430
瓜虫	1	0.0000	0.9430
社会化	1	0.0000	0.9430
清洁剂	1	0.0000	0.9430
产粪	1	0.0000	0.9430
烟芽	1	0.0000	0.9430
电子商务	1	0.0000	0.9430
茶样	1	0.0000	0.9430
茶粉	1	0.0000	0.9430
头痛	1	0.0000	0.9430
蟾毒灵	1	0.0000	0.9430
蟾毒	1	0.0000	0.9430
青娥	1	0.0000	0.9430
蝗的	1	0.0000	0.9431
蝗中	1	0.0000	0.9431
环棱螺体	1	0.0000	0.9431
对烯	1	0.0000	0.9431
屈角	1	0.0000	0.9431
调整机制	1	0.0000	0.9431
网络结构	1	0.0000	0.9431
发展潜力	1	0.0000	0.9431
微珠	1	0.0000	0.9431
黑蜂	1	0.0000	0.9431
聚肌	1	0.0000	0.9431
空气质量	1	0.0000	0.9431
目莲	1	0.0000	0.9431
职工	1	0.0000	0.9431
女方	1	0.0000	0.9432
效用	1	0.0000	0.9432
菌目	1	0.0000	0.9432
液菌群	1	0.0000	0.9432
齿痕	1	0.0000	0.9432
黑喉	1	0.0000	0.9432
食品标签	1	0.0000	0.9432
造孢	1	0.0000	0.9432
药剂	1	0.0000	0.9432
原口	1	0.0000	0.9432
小热	1	0.0000	0.9432
胺合成酶	1	0.0000	0.9432
细胞样本	1	0.0000	0.9432
谷蛾	1	0.0000	0.9433
抗风	1	0.0000	0.9433
骆驼蓬	1	0.0000	0.9433
项集	1	0.0000	0.9433
二甲苯	1	0.0000	0.9433
密度梯度	1	0.0000	0.9433
客户端	1	0.0000	0.9433
冗余参数	1	0.0000	0.9433
收获期	1	0.0000	0.9433
精米	1	0.0000	0.9433
雀鳝	1	0.0000	0.9433
匍柄	1	0.0000	0.9433
复杂程度	1	0.0000	0.9433
鹦形	1	0.0000	0.9433
雌蚜	1	0.0000	0.9434
尾蚜	1	0.0000	0.9434
容物	1	0.0000	0.9434
湿季	1	0.0000	0.9434
城市群	1	0.0000	0.9434
白对虾	1	0.0000	0.9434
过继免疫	1	0.0000	0.9434
类菌体	1	0.0000	0.9434
相位角	1	0.0000	0.9434
海区	1	0.0000	0.9434
麦杆	1	0.0000	0.9434
子宫腔	1	0.0000	0.9434
传动	1	0.0000	0.9434
电工	1	0.0000	0.9435
连续流	1	0.0000	0.9435
对髓	1	0.0000	0.9435
长臂虾	1	0.0000	0.9435
梯队	1	0.0000	0.9435
博导	1	0.0000	0.9435
重大项目	1	0.0000	0.9435
著作	1	0.0000	0.9435
添加剂	1	0.0000	0.9435
载具	1	0.0000	0.9435
入境	1	0.0000	0.9435
虫量	1	0.0000	0.9435
别构调节	1	0.0000	0.9435
别孕烷	1	0.0000	0.9436
总叶	1	0.0000	0.9436
切根	1	0.0000	0.9436
天文	1	0.0000	0.9436
条锈	1	0.0000	0.9436
佝偻病	1	0.0000	0.9436
海盆	1	0.0000	0.9436
土贝母	1	0.0000	0.9436
土壤生物	1	0.0000	0.9436
蚂蚁	1	0.0000	0.9436
轴区	1	0.0000	0.9436
链带	1	0.0000	0.9436
梨火	1	0.0000	0.9436
个亲	1	0.0000	0.9436
金水	1	0.0000	0.9437
朱鹮	1	0.0000	0.9437
酒精中毒	1	0.0000	0.9437
申农	1	0.0000	0.9437
螺线管	1	0.0000	0.9437
落花生	1	0.0000	0.9437
五加	1	0.0000	0.9437
安装包	1	0.0000	0.9437
类区	1	0.0000	0.9437
病防治	1	0.0000	0.9437
环上	1	0.0000	0.9437
胆结石	1	0.0000	0.9437
仪行	1	0.0000	0.9437
节度	1	0.0000	0.9438
羚牛	1	0.0000	0.9438
沙鸡	1	0.0000	0.9438
活化石	1	0.0000	0.9438
种木	1	0.0000	0.9438
沉香木	1	0.0000	0.9438
转膜区	1	0.0000	0.9438
序列密码	1	0.0000	0.9438
数学模型	1	0.0000	0.9438
酱香型	1	0.0000	0.9438
难治	1	0.0000	0.9438
肌小管	1	0.0000	0.9438
竞争机制	1	0.0000	0.9438
套管	1	0.0000	0.9439
无脑	1	0.0000	0.9439
柚根	1	0.0000	0.9439
小猪	1	0.0000	0.9439
褐鸡	1	0.0000	0.9439
麝中	1	0.0000	0.9439
中胶	1	0.0000	0.9439
小口	1	0.0000	0.9439
射血	1	0.0000	0.9439
黑酸茄尼酯	1	0.0000	0.9439
木署	1	0.0000	0.9439
葵油	1	0.0000	0.9439
覆盆子	1	0.0000	0.9439
总称	1	0.0000	0.9439
四神丸	1	0.0000	0.9440
鲜食	1	0.0000	0.9440
圆筒状	1	0.0000	0.9440
常务副	1	0.0000	0.9440
宾馆	1	0.0000	0.9440
含苯	1	0.0000	0.9440
团花	1	0.0000	0.9440
后经	1	0.0000	0.9440
将西	1	0.0000	0.9440
和茄尼醇	1	0.0000	0.9440
袖带	1	0.0000	0.9440
三胺酸	1	0.0000	0.9440
基合酶	1	0.0000	0.9440
缬草	1	0.0000	0.9441
蜘蛛香	1	0.0000	0.9441
生存性	1	0.0000	0.9441
脐灸	1	0.0000	0.9441
中真	1	0.0000	0.9441
总脂	1	0.0000	0.9441
三烯酚	1	0.0000	0.9441
蓝蟹	1	0.0000	0.9441
合酶具	1	0.0000	0.9441
茴香霉素	1	0.0000	0.9441
鲤形	1	0.0000	0.9441
鲇形目	1	0.0000	0.9441
植基	1	0.0000	0.9441
麝产香	1	0.0000	0.9442
斗争	1	0.0000	0.9442
防病治病	1	0.0000	0.9442
桉是	1	0.0000	0.9442
蒸汽机	1	0.0000	0.9442
地球村	1	0.0000	0.9442
工业革命	1	0.0000	0.9442
探查	1	0.0000	0.9442
虫数	1	0.0000	0.9442
象限	1	0.0000	0.9442
陷波	1	0.0000	0.9442
互通	1	0.0000	0.9442
巨大作用	1	0.0000	0.9442
方法论	1	0.0000	0.9442
室管膜	1	0.0000	0.9443
囊袋	1	0.0000	0.9443
骨胶	1	0.0000	0.9443
胶类	1	0.0000	0.9443
桉的	1	0.0000	0.9443
正常化	1	0.0000	0.9443
品比	1	0.0000	0.9443
反应类型	1	0.0000	0.9443
中的	1	0.0000	0.9443
实施方案	1	0.0000	0.9443
观念	1	0.0000	0.9443
褥疮	1	0.0000	0.9443
白芨	1	0.0000	0.9443
感盐	1	0.0000	0.9444
合理布局	1	0.0000	0.9444
面食	1	0.0000	0.9444
百子	1	0.0000	0.9444
十字	1	0.0000	0.9444
骨针	1	0.0000	0.9444
猪羊	1	0.0000	0.9444
粘类	1	0.0000	0.9444
高场	1	0.0000	0.9444
总站	1	0.0000	0.9444
泌乳素瘤	1	0.0000	0.9444
生物测定	1	0.0000	0.9444
豆瓣菜	1	0.0000	0.9444
总产量	1	0.0000	0.9444
饲料作物	1	0.0000	0.9445
个性	1	0.0000	0.9445
新异	1	0.0000	0.9445
粉葛	1	0.0000	0.9445
跨度	1	0.0000	0.9445
黎族	1	0.0000	0.9445
二脒	1	0.0000	0.9445
香肠	1	0.0000	0.9445
酰氨	1	0.0000	0.9445
大方	1	0.0000	0.9445
根层	1	0.0000	0.9445
脉冲数	1	0.0000	0.9445
糖化酶	1	0.0000	0.9445
糠醛	1	0.0000	0.9446
醋制	1	0.0000	0.9446
麻黄碱	1	0.0000	0.9446
正序	1	0.0000	0.9446
倒序	1	0.0000	0.9446
皂苷甲	1	0.0000	0.9446
硫熏	1	0.0000	0.9446
角叉菜	1	0.0000	0.9446
卤代	1	0.0000	0.9446
绳状	1	0.0000	0.9446
侧壁	1	0.0000	0.9446
条小	1	0.0000	0.9446
海猪	1	0.0000	0.9446
紫芋	1	0.0000	0.9447
地带	1	0.0000	0.9447
辛伐他汀	1	0.0000	0.9447
种团	1	0.0000	0.9447
太白	1	0.0000	0.9447
脑樟	1	0.0000	0.9447
异樟	1	0.0000	0.9447
山松	1	0.0000	0.9447
内有界	1	0.0000	0.9447
音视频	1	0.0000	0.9447
影音	1	0.0000	0.9447
溶解氧	1	0.0000	0.9447
抗癫痫	1	0.0000	0.9447
平地	1	0.0000	0.9447
态斑	1	0.0000	0.9448
首针	1	0.0000	0.9448
样线	1	0.0000	0.9448
样圆法	1	0.0000	0.9448
蓝法	1	0.0000	0.9448
工程细胞	1	0.0000	0.9448
鹬类	1	0.0000	0.9448
母鼠	1	0.0000	0.9448
父鼠	1	0.0000	0.9448
赤子	1	0.0000	0.9448
雏鹅	1	0.0000	0.9448
鹅群	1	0.0000	0.9448
基硫苷	1	0.0000	0.9448
气象站	1	0.0000	0.9449
杂气	1	0.0000	0.9449
素者	1	0.0000	0.9449
证素	1	0.0000	0.9449
全草	1	0.0000	0.9449
化项	1	0.0000	0.9449
成像仪	1	0.0000	0.9449
黑质	1	0.0000	0.9449
鞘瘤	1	0.0000	0.9449
芳香化	1	0.0000	0.9449
间苯二酚	1	0.0000	0.9449
剖析	1	0.0000	0.9449
抗哈维	1	0.0000	0.9449
规矩	1	0.0000	0.9450
胞系	1	0.0000	0.9450
服糖	1	0.0000	0.9450
因效性	1	0.0000	0.9450
胃络	1	0.0000	0.9450
化使	1	0.0000	0.9450
果刺	1	0.0000	0.9450
周果	1	0.0000	0.9450
石化作用	1	0.0000	0.9450
名花	1	0.0000	0.9450
世界级	1	0.0000	0.9450
乙二胺四乙酸	1	0.0000	0.9450
渗透剂	1	0.0000	0.9450
活菌数	1	0.0000	0.9450
溶菌	1	0.0000	0.9451
编制工作	1	0.0000	0.9451
省时省力	1	0.0000	0.9451
重伞	1	0.0000	0.9451
壤链	1	0.0000	0.9451
性型	1	0.0000	0.9451
区水团	1	0.0000	0.9451
水团	1	0.0000	0.9451
层囊	1	0.0000	0.9451
顶孢	1	0.0000	0.9451
光波长	1	0.0000	0.9451
螃蟹	1	0.0000	0.9451
河蟹	1	0.0000	0.9451
异丙酚	1	0.0000	0.9452
抗压	1	0.0000	0.9452
肉色	1	0.0000	0.9452
心情	1	0.0000	0.9452
平片	1	0.0000	0.9452
工信	1	0.0000	0.9452
软件技术	1	0.0000	0.9452
反应物	1	0.0000	0.9452
民用	1	0.0000	0.9452
定期检查	1	0.0000	0.9452
烯基	1	0.0000	0.9452
利用网络	1	0.0000	0.9452
候选框	1	0.0000	0.9452
光阱	1	0.0000	0.9452
单光	1	0.0000	0.9453
求真	1	0.0000	0.9453
淡化	1	0.0000	0.9453
奖项	1	0.0000	0.9453
电泵	1	0.0000	0.9453
尖波	1	0.0000	0.9453
短吻鳄	1	0.0000	0.9453
后用	1	0.0000	0.9453
